UTC,Latitude,Longitude,Altitude,SOG (knots),COG (deg),IMU Heading (avg),Apparent Wind Speed (knots),Apparent Wind Angle (deg),AWS X-Component,AWS Y-Component,True Wind Speed (knots),True Wind Direction (deg),Speed Through Water (knots),STW X-Component,STW Y-Component,Current Speed (knots),Current Direction (deg),Current X-Component,Current Y-Component,Errors
00:,48.829995,-123.338036,-20348,4.55,135.73,119.31,0.00,0.00,0.00,0.00,5.64,310.39,0.00,0.00,0.00,5.64,130.39,4.30,-3.66,None
00:,48.824480,-123.331401,-8359,4.86,139.86,115.00,0.00,0.00,0.00,0.00,4.78,328.47,0.00,0.00,0.00,4.78,148.47,2.50,-4.07,None
00:,48.819498,-123.333967,-17654,4.87,229.77,40.33,0.00,0.00,0.00,0.00,5.08,52.22,0.00,0.00,0.00,5.08,232.22,-4.02,-3.12,None
00:,48.813249,-123.342747,-22397,6.46,217.78,44.70,0.00,0.00,0.00,0.00,7.71,36.99,0.00,0.00,0.00,7.71,216.99,-4.64,-6.16,None
00:,48.805693,-123.352339,-16362,5.96,214.06,54.08,0.00,0.00,0.00,0.00,6.63,34.84,0.00,0.00,0.00,6.63,214.84,-3.79,-5.44,None
00:,48.798431,-123.359829,-15827,6.38,210.62,159.01,0.00,0.00,0.00,0.00,6.38,30.62,0.00,0.00,0.00,6.38,210.62,-3.25,-5.49,None
01:04:,48.790777,-123.365264,-17870,7.12,199.51,58.77,0.00,0.00,0.00,0.00,6.31,18.60,0.00,0.00,0.00,6.31,198.60,-2.01,-5.98,None
01:09:,48.786870,-123.360368,-23843,5.78,81.82,277.32,0.00,0.00,0.00,0.00,5.78,261.82,0.00,0.00,0.00,5.78,81.82,5.72,0.82,None
01:,48.784568,-123.351285,-13822,6.02,191.06,73.50,0.00,0.00,0.00,0.00,5.12,9.52,0.00,0.00,0.00,5.12,189.52,-0.85,-5.05,None
01:,48.775981,-123.352480,-17144,6.41,177.05,77.33,0.00,0.00,0.00,0.00,4.63,0.16,0.00,0.00,0.00,4.63,180.16,-0.01,-4.63,None
01:,48.767486,-123.352312,-27889,5.94,171.78,190.51,0.00,0.00,0.00,0.00,5.94,351.78,0.00,0.00,0.00,5.94,171.78,0.85,-5.88,None
01:,48.760317,-123.349310,-22381,2.70,161.22,103.10,0.00,0.00,0.00,0.00,5.95,343.02,0.00,0.00,0.00,5.95,163.02,1.74,-5.69,None
01:,48.754347,-123.346387,-23920,4.24,176.34,85.83,0.00,0.00,0.00,0.00,5.39,357.88,0.00,0.00,0.00,5.39,177.88,0.20,-5.39,None
01:,48.745983,-123.346318,-23046,6.63,177.65,87.71,0.00,0.00,0.00,0.00,5.87,0.12,0.00,0.00,0.00,5.87,180.12,-0.01,-5.87,None
01:,48.737982,-123.345245,-23389,4.51,178.00,79.24,0.00,0.00,0.00,0.00,5.40,350.94,0.00,0.00,0.00,5.40,170.94,0.85,-5.33,None
01:,48.730852,-123.344787,-22769,5.33,189.54,62.74,0.00,0.00,0.00,0.00,4.98,7.15,0.00,0.00,0.00,4.98,187.15,-0.62,-4.94,None
01:,48.722161,-123.344886,-16270,7.32,179.94,187.35,0.00,0.00,0.00,0.00,7.32,359.94,0.00,0.00,0.00,7.32,179.94,0.01,-7.32,None
01:,48.713028,-123.346084,-22959,5.59,179.73,79.51,0.00,0.00,0.00,0.00,7.00,2.09,0.00,0.00,0.00,7.00,182.09,-0.25,-7.00,None
02:04:,48.703869,-123.346695,-17420,5.86,182.65,74.36,0.00,0.00,0.00,0.00,6.64,6.98,0.00,0.00,0.00,6.64,186.98,-0.81,-6.59,None
02:09:,48.694641,-123.347824,-17593,6.87,181.63,76.72,0.00,0.00,0.00,0.00,6.47,3.83,0.00,0.00,0.00,6.47,183.83,-0.43,-6.45,None
02:,48.685659,-123.349122,-16905,8.93,182.50,72.87,0.00,0.00,0.00,0.00,6.22,357.69,0.00,0.00,0.00,6.22,177.69,0.25,-6.22,None
02:,48.676783,-123.351590,-11175,5.23,201.71,67.97,0.00,0.00,0.00,0.00,6.94,19.99,0.00,0.00,0.00,6.94,199.99,-2.37,-6.52,None
02:,48.667728,-123.356905,-31170,7.47,214.29,45.34,0.00,0.00,0.00,0.00,7.20,35.30,0.00,0.00,0.00,7.20,215.30,-4.16,-5.88,None
02:,48.661531,-123.366407,-29601,6.11,228.27,34.59,0.00,0.00,0.00,0.00,6.70,56.12,0.00,0.00,0.00,6.70,236.12,-5.56,-3.73,None
02:,48.656827,-123.376128,-29365,5.50,236.05,28.41,0.00,0.00,0.00,0.00,5.63,54.51,0.00,0.00,0.00,5.63,234.51,-4.58,-3.27,None
02:,48.652599,-123.385845,-19916,5.82,234.64,27.87,0.00,0.00,0.00,0.00,5.71,57.28,0.00,0.00,0.00,5.71,237.28,-4.80,-3.08,None
02:,48.653414,-123.393005,-22760,2.48,195.38,74.06,0.00,0.00,0.00,0.00,2.33,15.56,0.00,0.00,0.00,2.33,195.56,-0.63,-2.25,None
02:,48.651157,-123.394802,-24540,0.82,239.14,65.50,0.00,0.00,0.00,0.00,1.16,81.04,0.00,0.00,0.00,1.16,261.04,-1.15,-0.18,None
02:,48.651109,-123.394713,-25274,0.44,214.07,197.29,0.00,0.00,0.00,0.00,0.44,34.07,0.00,0.00,0.00,0.44,214.07,-0.25,-0.37,None
02:,48.651131,-123.394685,-9269,0.37,25.00,89.43,0.00,0.00,0.00,0.00,0.21,203.21,0.00,0.00,0.00,0.21,23.21,0.08,0.20,None
03:04:,48.651109,-123.394726,-18177,0.18,254.66,197.35,0.00,0.00,0.00,0.00,0.18,74.66,0.00,0.00,0.00,0.18,254.66,-0.18,-0.05,None
03:09:,48.651132,-123.394728,-19906,0.18,211.86,89.83,0.00,0.00,0.00,0.00,0.18,31.86,0.00,0.00,0.00,0.18,211.86,-0.09,-0.15,None
03:,48.651112,-123.394724,-19879,0.11,11.27,197.22,0.00,0.00,0.00,0.00,0.11,191.27,0.00,0.00,0.00,0.11,11.27,0.02,0.11,None
03:,48.651130,-123.394700,-18694,0.09,248.21,89.76,0.00,0.00,0.00,0.00,0.10,68.21,0.00,0.00,0.00,0.10,248.21,-0.10,-0.04,None
03:,48.651124,-123.394740,-18694,0.03,114.10,89.85,0.00,0.00,0.00,0.00,0.16,4.86,0.00,0.00,0.00,0.16,184.86,-0.01,-0.16,None
03:,48.651125,-123.394713,-19310,0.37,34.30,89.97,0.00,0.00,0.00,0.00,0.16,204.27,0.00,0.00,0.00,0.16,24.27,0.07,0.15,None
03:,48.651120,-123.394718,-18212,0.11,232.86,89.62,0.00,0.00,0.00,0.00,0.13,269.00,0.00,0.00,0.00,0.13,89.00,0.13,0.00,None
03:,48.651160,-123.394710,-10285,0.10,72.38,89.73,0.00,0.00,0.00,0.00,0.13,119.91,0.00,0.00,0.00,0.13,299.91,-0.11,0.06,None
03:,48.651137,-123.394738,-19047,0.12,297.27,89.93,0.00,0.00,0.00,0.00,0.10,117.27,0.00,0.00,0.00,0.10,297.27,-0.09,0.05,None
